service_id,date,exception_type
58,20150908,2
58,20150909,2
58,20150910,2
58,20150911,2
58,20150914,2
58,20150915,2
58,20150916,2
58,20150917,2
58,20150918,2
58,20150921,2
58,20150922,2
58,20150923,2
58,20150924,2
58,20150925,2
58,20150928,2
59,20150929,1
59,20150930,1
59,20151001,1
59,20151002,1
59,20151005,1
59,20151006,1
59,20151007,1
59,20151008,1
59,20151009,1
60,20150928,2
61,20150928,2
61,20150929,1
61,20151001,1
61,20151006,1
61,20151008,1
62,20150929,2
62,20151001,2
62,20151006,2
62,20151008,2
66,20150907,1
66,20150908,1
66,20150909,1
66,20150910,1
66,20150911,1
66,20150914,1
66,20150915,1
66,20150916,1
66,20150917,1
66,20150918,1
66,20150921,1
66,20150922,1
66,20150923,1
66,20150924,1
66,20150925,1
66,20150929,1
66,20150930,1
66,20151001,1
66,20151002,1
66,20151005,1
66,20151006,1
66,20151007,1
66,20151008,1
66,20151009,1
66,20151012,1
66,20151013,1
66,20151014,1
66,20151015,1
66,20151016,1
66,20151019,1
66,20151020,1
66,20151021,1
66,20151022,1
66,20151023,1
66,20151026,1
66,20151027,1
66,20151028,1
66,20151029,1
66,20151030,1
66,20151102,1
66,20151103,1
66,20151104,1
66,20151105,1
66,20151106,1
66,20151109,1
66,20151110,1
66,20151111,1
66,20151112,1
66,20151113,1
66,20151116,1
66,20151117,1
66,20151118,1
66,20151119,1
66,20151120,1
68,20150928,2
69,20150928,1
70,20150928,2
71,20150928,2
75,20150911,1
80,20150928,2
80,20151002,2
80,20151005,2
80,20151009,2
81,20151002,1
81,20151005,1
81,20151009,1
82,20150927,1
82,20150928,1
83,20151003,1
84,20150929,1
84,20150930,1
84,20151001,1
84,20151002,1
86,20150929,1
86,20150930,1
86,20151001,1
86,20151002,1
86,20151005,1
86,20151006,1
86,20151007,1
86,20151008,1
86,20151009,1
87,20150928,2
88,20150928,1
94,20150912,1
99,20150928,1
99,20151109,1
99,20151110,1
99,20151111,1
99,20151112,1
99,20151113,1
99,20151114,1
127,20150926,2
127,20151003,2
127,20151010,2
127,20151017,2
127,20151024,2
127,20151031,2
127,20151107,2
127,20151114,2
127,20151121,2
127,20151128,2
127,20151205,2
128,20150913,1
128,20150920,1
134,20150928,1
143,20150907,1
143,20150908,1
143,20150909,1
143,20150910,1
143,20150914,1
143,20150915,1
143,20150916,1
143,20150917,1
143,20150921,1
143,20150922,1
143,20150923,1
143,20150924,1
143,20151005,1
143,20151006,1
143,20151007,1
143,20151008,1
143,20151012,1
143,20151013,1
143,20151014,1
143,20151015,1
143,20151019,1
143,20151020,1
143,20151021,1
143,20151022,1
143,20151026,1
143,20151027,1
143,20151028,1
143,20151029,1
143,20151102,1
143,20151103,1
143,20151104,1
143,20151105,1
143,20151109,1
143,20151110,1
143,20151111,1
143,20151112,1
143,20151116,1
143,20151117,1
143,20151118,1
143,20151119,1
155,20150927,2
164,20151003,1
164,20151010,1
164,20151017,1
164,20151024,1
164,20151031,1
164,20151107,1
164,20151114,1
164,20151121,1
164,20151128,1
164,20151205,1
165,20151004,1
165,20151011,1
165,20151018,1
165,20151025,1
165,20151101,1
165,20151108,1
165,20151115,1
165,20151122,1
165,20151129,1
165,20151206,1
166,20150907,2
166,20150914,2
166,20150921,2
166,20150928,2
166,20151012,2
166,20151019,2
166,20151026,2
166,20151102,2
166,20151109,2
166,20151116,2
166,20151123,2
166,20151130,2
167,20150909,2
167,20150916,2
167,20150923,2
167,20151014,2
167,20151021,2
167,20151028,2
167,20151104,2
167,20151111,2
167,20151118,2
167,20151125,2
167,20151202,2
168,20150911,2
168,20150918,2
168,20150925,2
168,20151016,2
168,20151023,2
168,20151030,2
168,20151106,2
168,20151113,2
168,20151120,2
168,20151127,2
168,20151204,2
169,20151001,1
169,20151008,1
173,20150928,1
177,20150929,1
177,20150930,1
177,20151002,1
177,20151005,1
177,20151006,1
177,20151007,1
177,20151009,1
178,20150910,2
178,20150917,2
178,20150924,2
178,20151001,2
178,20151015,2
178,20151022,2
178,20151029,2
178,20151105,2
178,20151112,2
178,20151119,2
178,20151126,2
178,20151203,2
179,20150910,2
179,20150917,2
179,20150924,2
179,20151008,2
179,20151015,2
179,20151022,2
179,20151029,2
179,20151105,2
179,20151112,2
179,20151119,2
179,20151126,2
179,20151203,2
180,20150928,2
180,20150929,2
180,20150930,2
180,20151001,2
180,20151002,2
181,20150917,1
181,20151015,1
181,20151029,1
181,20151112,1
181,20151126,1
182,20150910,1
182,20150924,1
182,20151022,1
182,20151105,1
182,20151119,1
182,20151203,1
184,20150928,1
57_40863,20150913,2
57_40863,20150920,2
57_41993,20150913,2
57_41993,20150920,2
21_44020,20150928,1
32_44020,20150928,2
15_44021,20150928,2
15_44021,20150929,2
15_44021,20150930,2
15_44021,20151001,2
15_44021,20151002,2
15_44021,20151005,2
15_44021,20151006,2
15_44021,20151007,2
15_44021,20151008,2
15_44021,20151009,2
21_44022,20150928,1
32_44022,20150928,2
19_44023,20150930,2
19_44023,20151007,2
42_44023,20150928,2
42_44023,20150929,2
42_44023,20151001,2
42_44023,20151002,2
42_44023,20151005,2
42_44023,20151006,2
42_44023,20151008,2
42_44023,20151009,2
13_44024,20150929,1
13_44024,20150930,1
13_44024,20151001,1
13_44024,20151002,1
13_44024,20151005,1
13_44024,20151006,1
13_44024,20151007,1
13_44024,20151008,1
13_44024,20151009,1
32_44024,20150928,2
32_44025,20150928,2
32_44026,20150928,2
21_44027,20150928,1
32_44027,20150928,2
15_44028,20150928,2
15_44028,20150929,2
15_44028,20150930,2
15_44028,20151001,2
15_44028,20151002,2
15_44028,20151005,2
15_44028,20151006,2
15_44028,20151007,2
15_44028,20151008,2
15_44028,20151009,2
15_44029,20150928,2
15_44029,20150929,2
15_44029,20150930,2
15_44029,20151001,2
15_44029,20151002,2
15_44029,20151005,2
15_44029,20151006,2
15_44029,20151007,2
15_44029,20151008,2
15_44029,20151009,2
32_44030,20150928,2
32_44031,20150928,2
32_44032,20150928,2
13_44033,20150929,1
13_44033,20150930,1
13_44033,20151001,1
13_44033,20151002,1
13_44033,20151005,1
13_44033,20151006,1
13_44033,20151007,1
13_44033,20151008,1
13_44033,20151009,1
21_44033,20150928,1
32_44033,20150928,2
15_44034,20150928,2
15_44034,20150929,2
15_44034,20150930,2
15_44034,20151001,2
15_44034,20151002,2
15_44034,20151005,2
15_44034,20151006,2
15_44034,20151007,2
15_44034,20151008,2
15_44034,20151009,2
32_44036,20150928,2
32_44037,20150928,2
21_44038,20150928,1
32_44038,20150928,2
15_44039,20150928,2
15_44039,20150929,2
15_44039,20150930,2
15_44039,20151001,2
15_44039,20151002,2
15_44039,20151005,2
15_44039,20151006,2
15_44039,20151007,2
15_44039,20151008,2
15_44039,20151009,2
21_44040,20150928,1
32_44040,20150928,2
21_44041,20150928,1
32_44041,20150928,2
15_44042,20150928,2
15_44042,20150929,2
15_44042,20150930,2
15_44042,20151001,2
15_44042,20151002,2
15_44042,20151005,2
15_44042,20151006,2
15_44042,20151007,2
15_44042,20151008,2
15_44042,20151009,2
15_44043,20150928,2
15_44043,20150929,2
15_44043,20150930,2
15_44043,20151001,2
15_44043,20151002,2
15_44043,20151005,2
15_44043,20151006,2
15_44043,20151007,2
15_44043,20151008,2
15_44043,20151009,2
21_44044,20150928,1
32_44044,20150928,2
13_44045,20150929,1
13_44045,20150930,1
13_44045,20151001,1
13_44045,20151002,1
13_44045,20151005,1
13_44045,20151006,1
13_44045,20151007,1
13_44045,20151008,1
13_44045,20151009,1
21_44045,20150928,1
32_44045,20150928,2
15_44409,20150928,2
15_44409,20150929,2
15_44409,20150930,2
15_44409,20151001,2
15_44409,20151002,2
15_44409,20151005,2
15_44409,20151006,2
15_44409,20151007,2
15_44409,20151008,2
15_44409,20151009,2
15_44410,20150928,2
15_44410,20150929,2
15_44410,20150930,2
15_44410,20151001,2
15_44410,20151002,2
15_44410,20151005,2
15_44410,20151006,2
15_44410,20151007,2
15_44410,20151008,2
15_44410,20151009,2
13_44411,20150929,1
13_44411,20150930,1
13_44411,20151001,1
13_44411,20151002,1
13_44411,20151005,1
13_44411,20151006,1
13_44411,20151007,1
13_44411,20151008,1
13_44411,20151009,1
20_44411,20150928,1
32_44411,20150928,2
15_44412,20150928,2
15_44412,20150929,2
15_44412,20150930,2
15_44412,20151001,2
15_44412,20151002,2
15_44412,20151005,2
15_44412,20151006,2
15_44412,20151007,2
15_44412,20151008,2
15_44412,20151009,2
15_44413,20150928,2
15_44413,20150929,2
15_44413,20150930,2
15_44413,20151001,2
15_44413,20151002,2
15_44413,20151005,2
15_44413,20151006,2
15_44413,20151007,2
15_44413,20151008,2
15_44413,20151009,2
15_44415,20150928,2
15_44415,20150929,2
15_44415,20150930,2
15_44415,20151001,2
15_44415,20151002,2
15_44415,20151005,2
15_44415,20151006,2
15_44415,20151007,2
15_44415,20151008,2
15_44415,20151009,2
15_44416,20150928,2
15_44416,20150929,2
15_44416,20150930,2
15_44416,20151001,2
15_44416,20151002,2
15_44416,20151005,2
15_44416,20151006,2
15_44416,20151007,2
15_44416,20151008,2
15_44416,20151009,2
15_44417,20150928,2
15_44417,20150929,2
15_44417,20150930,2
15_44417,20151001,2
15_44417,20151002,2
15_44417,20151005,2
15_44417,20151006,2
15_44417,20151007,2
15_44417,20151008,2
15_44417,20151009,2
15_44418,20150928,2
15_44418,20150929,2
15_44418,20150930,2
15_44418,20151001,2
15_44418,20151002,2
15_44418,20151005,2
15_44418,20151006,2
15_44418,20151007,2
15_44418,20151008,2
15_44418,20151009,2
15_44419,20150928,2
15_44419,20150929,2
15_44419,20150930,2
15_44419,20151001,2
15_44419,20151002,2
15_44419,20151005,2
15_44419,20151006,2
15_44419,20151007,2
15_44419,20151008,2
15_44419,20151009,2
15_44420,20150928,2
15_44420,20150929,2
15_44420,20150930,2
15_44420,20151001,2
15_44420,20151002,2
15_44420,20151005,2
15_44420,20151006,2
15_44420,20151007,2
15_44420,20151008,2
15_44420,20151009,2
15_44421,20150928,2
15_44421,20150929,2
15_44421,20150930,2
15_44421,20151001,2
15_44421,20151002,2
15_44421,20151005,2
15_44421,20151006,2
15_44421,20151007,2
15_44421,20151008,2
15_44421,20151009,2
15_44428,20150928,2
15_44428,20150929,2
15_44428,20150930,2
15_44428,20151001,2
15_44428,20151002,2
15_44428,20151005,2
15_44428,20151006,2
15_44428,20151007,2
15_44428,20151008,2
15_44428,20151009,2
32_44429,20150928,2
32_44430,20150928,2
21_44431,20150928,1
32_44431,20150928,2
75_44556,20150911,1
94_44556,20150912,1
75_44557,20150911,1
94_44557,20150912,1
75_44558,20150911,1
94_44558,20150912,1
75_44559,20150911,1
94_44559,20150912,1
75_44560,20150911,1
94_44560,20150912,1
75_44561,20150911,1
94_44561,20150912,1
75_44562,20150911,1
94_44562,20150912,1
75_44564,20150911,1
94_44564,20150912,1
94_44565,20150912,1
94_44566,20150912,1
